Timestamp,Do you make your bed every morning? ,(Optional) Why?,What do you think most people's answer will be?
2/12/2018 10:24:09,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 10:26:08,Not usually...,Since it is lofted.,Most people don't usually make their beds every day.
2/12/2018 10:26:16,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 10:30:51,Not usually...,I'm lazy and always running late ,Most people don't usually make their beds every day.
2/12/2018 10:34:27,Not usually...,"Why would I make my bed if I'm just going to go back to sleep in it later? No point.
",Most people make their bed every day or almost every day.
2/12/2018 10:35:13,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 10:35:32,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 10:43:19,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 10:44:12,Not usually...,It's on the top bunk and I never want to climb up and put the work in,Most people don't usually make their beds every day.
2/12/2018 10:56:47,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 10:58:54,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 11:13:41,Not usually...,I’m gonna sleep in it anyway ,Most people don't usually make their beds every day.
2/12/2018 11:21:53,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 11:27:37,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 11:34:29,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 11:35:33,Not usually...,"While it may be better for your mental health to make your bed, it could be better for your physical health to leave it a complete mess.  Leaving it unmade allows a million or so dust mites to die off every night.",Most people make their bed every day or almost every day.
2/12/2018 12:01:07,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 12:01:15,Not usually...,,Most people make their bed every day or almost every day.
2/12/2018 12:02:35,Always! Or almost always.,Don't like thinking of cats on my sheets (though I let them on the bed when I'm sleeping!),Most people don't usually make their beds every day.
2/12/2018 12:24:35,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 12:35:30,Not usually...,"Laziness, mostly. ",Most people don't usually make their beds every day.
2/12/2018 12:40:31,Not usually...,I don't think it's important.,Most people don't usually make their beds every day.
2/12/2018 13:18:16,Not usually...,Because I'll undo it when I go to bed...,Most people don't usually make their beds every day.
2/12/2018 13:19:29,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 13:21:37,Always! Or almost always.,A tidy room creates a tidy mindset.,Most people don't usually make their beds every day.
2/12/2018 13:22:51,Always! Or almost always.,To start my day organized,Most people make their bed every day or almost every day.
2/12/2018 13:26:00,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 14:11:22,Not usually...,It's lofted and nobody ever comes in my room. I'm the only one who sees it and sleeps in it so it isn't a problem if I don't make it.,Most people don't usually make their beds every day.
2/12/2018 14:16:25,Always! Or almost always.,"If my cats vomit on my bed, I would rather have them do it on a blanket instead of it seeping through to the mattress.",Most people don't usually make their beds every day.
2/12/2018 14:34:32,Always! Or almost always.,It makes me feel like I'm starting my day off on yhe right foot and that i was able to accomplish one job even if can't with others.,Most people don't usually make their beds every day.
2/12/2018 14:45:59,Not usually...,I'm lazy,Most people don't usually make their beds every day.
2/12/2018 14:54:56,Always! Or almost always.,Looks better and more welcoming,Most people make their bed every day or almost every day.
2/12/2018 15:06:28,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 15:25:34,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 15:31:34,Always! Or almost always.,Makes me feel like I have my life together when I don't,Most people don't usually make their beds every day.
2/12/2018 15:43:15,Not usually...,It's going to get undone in a couple hours anyway. I only do it when I clean my room and/or have guests over. ,Most people don't usually make their beds every day.
2/12/2018 16:16:11,Not usually...,never ever. because I'm just going to get back into it within a few hours.,Most people don't usually make their beds every day.
2/12/2018 16:18:55,Always! Or almost always.,"If your day is shit, at least you have a nice made bed to go back home to",Most people don't usually make their beds every day.
2/12/2018 16:29:40,Not usually...,,Most people don't usually make their beds every day.
2/12/2018 16:30:15,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 16:34:32,Always! Or almost always.,,Most people make their bed every day or almost every day.
2/12/2018 17:18:01,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 17:18:03,Not usually...,Lofted bed; also lazy,Most people don't usually make their beds every day.
2/12/2018 18:09:20,Always! Or almost always.,Because the room looks nicer. ,Most people don't usually make their beds every day.
2/12/2018 18:37:39,Always! Or almost always.,,Most people don't usually make their beds every day.
2/12/2018 21:03:15,Not usually...,I have a lofted bed so I don't see it/use it except when I am sleeping,Most people don't usually make their beds every day.
2/12/2018 22:17:27,Not usually...,"I don't make my bed often, and see no need to. It's comfy as is. Also, I might be a bit lazy.",Most people don't usually make their beds every day.
2/13/2018 10:35:55,Always! Or almost always.,,Most people don't usually make their beds every day.
2/13/2018 10:40:07,Not usually...,I'm lazy.,Most people don't usually make their beds every day.
2/13/2018 11:28:19,Not usually...,Lazy 🤷🏻‍♂️,Most people don't usually make their beds every day.
2/13/2018 12:09:15,Not usually...,I am a lazy bum and will never change,Most people don't usually make their beds every day.
2/14/2018 9:46:16,Always! Or almost always.,,Most people don't usually make their beds every day.
2/14/2018 9:49:51,Not usually...,,Most people don't usually make their beds every day.
2/14/2018 13:20:24,Always! Or almost always.,Keeps the sheets clean and the dog & cat hair off.  Also looks better.,Most people make their bed every day or almost every day.
2/14/2018 16:10:53,Not usually...,,Most people don't usually make their beds every day.
2/15/2018 16:44:08,Not usually...,Because I will sleep again at night.,Most people make their bed every day or almost every day.
2/15/2018 21:52:16,Not usually...,Fuck no,Most people don't usually make their beds every day.
